temperature,eDensity,gofnt
2476723.6489408244,19183673469.387756,6.16293635927038e-29
2595886.586126396,19183673469.387756,2.6436059312460556e-29
2720782.8256950434,19183673469.387756,1.1272440378774628e-29
2851688.2147934726,19183673469.387756,4.807060970593948e-30
2988891.8724391717,19183673469.387756,2.0600122593705144e-30
3132696.828071686,19183673469.387756,8.892993708227255e-31
3283420.6908266563,19183673469.387756,3.875103114753046e-31
3441396.3510106686,19183673469.387756,1.7057451125314671e-31
3606972.7153262887,19183673469.387756,7.586460074656426e-32
3780515.4774710797,19183673469.387756,3.4092335941746174e-32
3962407.92581251,19183673469.387756,1.547457107538031e-32
4153051.789922715,19183673469.387756,7.091311181955723e-33
4352868.127842631,19183673469.387756,3.2777650422432507e-33
4562298.256035178,19183673469.387756,1.5265116552488453e-33
